Team,Value,Value_Change,Debt_Value,Revenue,Operating_Income,Year
New York Yankees,4600,15,0,668,29,2018
Los Angeles Dodgers,3300,10,12,549,95,2018
Boston Red Sox,3200,14,0,516,84,2018
Chicago Cubs,3100,7,14,452,87,2018
San Francisco Giants,3000,5,0,462,84,2018
New York Mets,2300,10,13,340,30,2018
St. Louis Cardinals,2100,11,11,356,65,2018
Los Angeles Angels of Anaheim,1900,6,0,348,19,2018
Philadelphia Phillies,1850,9,4,341,94,2018
Houston Astros,1775,8,15,368,66,2018
Washington Nationals,1750,4,20,336,24,2018
Atlanta Braves,1700,5,19,344,71,2018
Texas Rangers,1650,3,46,324,39,2018
Chicago White Sox,1600,7,6,272,76,2018
Seattle Mariners,1575,9,13,320,31,2018
Toronto Blue Jays,1500,11,0,265,-16,2018
San Diego Padres,1350,6,10,277,49,2018
Arizona Diamondbacks,1290,7,14,275,10,2018
Baltimore Orioles,1280,7,14,251,-6.5,2018
Pittsburgh Pirates,1275,1,8,254,39,2018
Detroit Tigers,1250,2,12,276,19,2018
Colorado Rockies,1225,11,7,291,23,2018
Minnesota Twins,1200,4,21,269,14,2018
Milwaukee Brewers,1175,14,6,288,66,2018
Cleveland Indians,1150,10,9,282,16,2018
Oakland Athletics,1100,8,7,218,33,2018
Cincinnati Reds,1050,4,10,257,37,2018
Kansas City Royals,1025,1,7,244,5.3,2018
Tampa Bay Rays,1010,12,20,228,27,2018
Miami Marlins,1000,0,40,224,-22,2018
New York Yankees,4000,8,0,619,14,2017
Los Angeles Dodgers,3000,9,14,522,68,2017
Chicago Cubs,2900,8,15,457,102,2017
San Francisco Giants,2850,8,0,445,84,2017
Boston Red Sox,2800,4,0,453,86,2017
New York Mets,2100,5,14,336,17,2017
St. Louis Cardinals,1900,6,12,319,40,2017
Los Angeles Angels of Anaheim,1800,3,0,334,25,2017
Philadelphia Phillies,1700,3,5,329,91,2017
Washington Nationals,1675,5,20,311,11,2017
Houston Astros,1650,14,17,347,77,2017
Atlanta Braves,1625,8,21,336,46,2017
Texas Rangers,1600,3,10,311,30,2017
Chicago White Sox,1500,11,7,266,30,2017
Seattle Mariners,1450,4,0,288,-2.4,2017
Toronto Blue Jays,1350,4,0,274,-1.3,2017
San Diego Padres,1270,13,14,266,26,2017
Pittsburgh Pirates,1260,1,8,258,35,2017
Detroit Tigers,1225,2,13,277,-46,2017
Arizona Diamondbacks,1210,5,12,258,34,2017
Baltimore Orioles,1200,2,15,252,-26,2017
Minnesota Twins,1150,12,17,261,23,2017
Colorado Rockies,1100,10,8,266,15,2017
Cleveland Indians,1045,14,10,284,31,2017
Milwaukee Brewers,1030,11,7,255,67,2017
Oakland Athletics,1020,16,7,210,15,2017
Kansas City Royals,1015,7,7,245,-17,2017
Cincinnati Reds,1010,10,10,243,14,2017
Miami Marlins,1000,6,40,219,-53,2017
